Unnamed: 0,URL,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,Latitude,Longitude
430,https://en.wikipedia.org/wiki/Mariano_D%C3%Adaz,221639,Mariano,24,https://cdn.sofifa.org/players/4/19/221639.png,Dominican Republic,https://cdn.sofifa.org/flags/207.png,80,87,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€16M,€110K,1869,Right,1,3,3,Medium/ Medium,Lean,Yes,CDM,18,28-Nov-14,,2021,6'0,161lbs,61+2,61+2,61+2,65+2,66+2,66+2,66+2,65+2,70+2,70+2,70+2,68+2,75+2,75+2,75+2,68+2,72+2,77+2,77+2,77+2,72+2,72+2,73+2,73+2,73+2,72+2,56,39,61,84,44,68,45,51,81,78,61,59,58,74,66,58,66,75,72,56,65,80,65,76,53,76,76,79,72,13,6,6,11,15,€36M,,
573,https://en.wikipedia.org/wiki/Marcos_Llorente ,226161,Marcos Llorente,23,https://cdn.sofifa.org/players/4/19/226161.png,Spain,https://cdn.sofifa.org/flags/45.png,79,86,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€13.5M,€81K,1738,Right,1,3,2,Low/ High,Lean,Yes,CB,3,31-Jul-15,,2021,6'0,174lbs,56+2,56+2,56+2,55+2,55+2,55+2,55+2,55+2,56+2,56+2,56+2,58+2,62+2,62+2,62+2,58+2,70+2,73+2,73+2,73+2,70+2,72+2,76+2,76+2,76+2,72+2,41,44,74,76,36,56,29,31,75,67,67,74,69,77,69,49,77,66,69,31,74,82,32,33,45,76,79,78,81,10,13,15,13,6,€30.4M,,
754,https://en.wikipedia.org/wiki/Jes%C3%BAs_Vallejo,225161,Vallejo,21,https://cdn.sofifa.org/players/4/19/225161.png,Spain,https://cdn.sofifa.org/flags/45.png,78,92,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€17.5M,€66K,1849,Right,1,4,5,High/ Medium,Lean,No,LW,28,12-Jul-18,,2025,5'9,161lbs,72+2,72+2,72+2,76+2,75+2,75+2,75+2,76+2,74+2,74+2,74+2,75+2,65+2,65+2,65+2,75+2,56+2,50+2,50+2,50+2,56+2,52+2,42+2,42+2,42+2,52+2,65,70,50,70,71,81,77,62,48,80,92,94,90,70,82,74,74,79,59,68,48,26,74,69,65,75,32,25,18,5,7,7,7,10,€46.8M,,
1143,https://en.wikipedia.org/wiki/Vin%C3%ADcius_J%C3%Banior,238794,Vinícius Júnior,17,https://cdn.sofifa.org/players/4/19/238794.png,Brazil,https://cdn.sofifa.org/flags/54.png,77,84,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€8.5M,€46K,1789,Right,1,3,3,Medium/ Medium,Normal,Yes,CM,5,22-Jul-16,,2021,6'0,172lbs,66+2,66+2,66+2,68+2,70+2,70+2,70+2,68+2,71+2,71+2,71+2,68+2,73+2,73+2,73+2,68+2,65+2,69+2,69+2,69+2,65+2,64+2,62+2,62+2,62+2,64+2,49,67,48,78,38,70,51,48,81,74,69,68,51,69,64,77,49,68,56,77,59,68,61,75,42,70,70,67,50,6,10,6,15,8,€19.1M,-14.235004,-51.925282
2513,https://en.wikipedia.org/wiki/Federico_Valverde,239053,F. Valverde,19,https://cdn.sofifa.org/players/4/19/239053.png,Uruguay,https://cdn.sofifa.org/flags/60.png,74,80,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€1.4M,€28K,1619,Left,1,3,3,High/ Medium,Normal,No,LB,23,1-Jul-17,,2020,5'10,150lbs,52+2,52+2,52+2,58+2,56+2,56+2,56+2,58+2,57+2,57+2,57+2,61+2,58+2,58+2,58+2,61+2,67+2,62+2,62+2,62+2,67+2,67+2,63+2,63+2,63+2,67+2,66,22,59,62,18,63,50,39,44,67,74,72,52,66,71,54,60,72,45,33,58,67,56,54,42,64,66,68,68,11,14,9,5,12,€3.2M,,
6724,https://en.wikipedia.org/wiki/Sergio_Reguil%C3%B3n,245279,Reguilón,21,https://cdn.sofifa.org/players/4/19/245279.png,Spain,https://cdn.sofifa.org/flags/45.png,68,79,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€1.2M,€24K,1444,Right,1,3,2,Medium/ Medium,Lean,No,CB,31,1-Jul-16,,2019,6'2,170lbs,45+2,45+2,45+2,44+2,44+2,44+2,44+2,44+2,45+2,45+2,45+2,46+2,50+2,50+2,50+2,46+2,59+2,61+2,61+2,61+2,59+2,61+2,66+2,66+2,66+2,61+2,32,28,66,63,18,34,27,34,38,61,55,64,41,63,51,38,72,68,68,32,70,67,25,35,38,55,64,67,65,11,15,13,8,13,€2.7M,,
8732,https://en.wikipedia.org/wiki/Javi_S%C3%A1nchez_(footballer),245238,Javi Sánchez,21,https://cdn.sofifa.org/players/4/19/245238.png,Spain,https://cdn.sofifa.org/flags/45.png,67,78,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€1.2M,€26K,1701,Right,1,2,3,Medium/ Medium,Lean,No,ST,27,18-Jul-17,,2019,5'10,163lbs,65+2,65+2,65+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,65+2,61+2,61+2,61+2,65+2,51+2,51+2,51+2,51+2,51+2,49+2,45+2,45+2,45+2,49+2,54,70,58,64,60,69,64,50,60,68,73,70,70,60,71,65,65,63,49,63,52,29,68,67,54,61,45,39,26,11,9,13,9,13,€2.6M,,
9141,https://en.wikipedia.org/wiki/Cristo_Gonz%C3%A1lez,225105,Cristo González,20,https://cdn.sofifa.org/players/4/19/225105.png,Spain,https://cdn.sofifa.org/flags/45.png,66,80,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€1.2M,€23K,1574,Right,1,4,3,Medium/ Medium,Normal,No,LW,34,1-Jul-17,,2019,5'8,152lbs,63+2,63+2,63+2,64+2,64+2,64+2,64+2,64+2,62+2,62+2,62+2,62+2,55+2,55+2,55+2,62+2,48+2,44+2,44+2,44+2,48+2,44+2,38+2,38+2,38+2,44+2,64,72,49,62,55,70,44,45,45,65,68,68,67,53,78,72,47,62,61,71,45,22,58,56,50,54,35,23,20,7,13,9,13,5,€3.2M,,
10178,https://es.wikipedia.org/wiki/Franchu_Feuillassier,241467,F. Feuillassier,20,https://cdn.sofifa.org/players/4/19/241467.png,Argentina,https://cdn.sofifa.org/flags/52.png,65,75,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€875K,€20K,1673,Right,1,3,3,High/ Medium,Lean,No,CM,36,1-Jul-16,,2019,5'9,150lbs,57+2,57+2,57+2,63+2,62+2,62+2,62+2,63+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,64+2,58+2,59+2,59+2,59+2,58+2,56+2,52+2,52+2,52+2,56+2,61,49,44,69,46,68,62,53,65,70,65,63,68,62,77,54,51,64,49,48,62,52,59,70,49,68,46,51,47,10,9,10,11,9,€2M,-38.416096,-63.616673
10269,https://en.wikipedia.org/wiki/Fidalgo,246608,Fidalgo,21,https://cdn.sofifa.org/players/4/19/246608.png,Spain,https://cdn.sofifa.org/flags/45.png,65,80,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€875K,€9K,1715,Right,1,3,3,High/ Medium,Lean,No,RB,32,1-Jul-18,,2019,5'10,146lbs,58+2,58+2,58+2,61+2,59+2,59+2,59+2,61+2,59+2,59+2,59+2,61+2,58+2,58+2,58+2,61+2,63+2,59+2,59+2,59+2,63+2,63+2,59+2,59+2,59+2,63+2,63,52,56,61,48,64,57,41,56,63,78,79,69,63,72,63,61,61,51,59,62,60,50,46,43,62,59,61,62,12,12,11,7,13,€2.3M,,
